"Notes"	"County of Residence"	"County of Residence Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	"Mother's Pre-pregnancy BMI"	"Mother's Pre-pregnancy BMI Code"	"Pre-pregnancy Diabetes"	"Pre-pregnancy Diabetes Code"	"Pre-pregnancy Hypertension"	"Pre-pregnancy Hypertension Code"	Births	Average Age of Mother (years)	Average Birth Weight (grams)	Average Number of Prenatal Visits
	"Placer County, CA"	"06061"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	19	31.95	3527.21	13.37
	"Riverside County, CA"	"06065"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	14	32.64	2882.50	11.14
	"Riverside County, CA"	"06065"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	69	29.29	3232.13	12.32
	"Riverside County, CA"	"06065"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	59	30.51	3012.93	12.09
	"Riverside County, CA"	"06065"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	30	30.80	3174.00	10.77
	"Riverside County, CA"	"06065"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	15	30.07	3015.87	12.53
	"Sacramento County, CA"	"06067"	"Asian"	"A"	"Underweight <18.5"	"1"	"No"	"2"	"No"	"2"	15	31.87	3241.47	11.07
	"Sacramento County, CA"	"06067"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	88	31.38	3280.17	10.05
	"Sacramento County, CA"	"06067"	"Asian"	"A"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	45	30.87	3297.69	11.76
	"Sacramento County, CA"	"06067"	"Asian"	"A"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	11	32.45	3005.73	14.27
	"Sacramento County, CA"	"06067"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	13	29.46	3055.15	9.83
	"Sacramento County, CA"	"06067"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	10	30.80	3266.50	11.00
	"Sacramento County, CA"	"06067"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	159	29.52	3494.19	10.78
	"Sacramento County, CA"	"06067"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	121	30.03	3503.46	10.23
	"Sacramento County, CA"	"06067"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	32	30.47	3427.62	10.38
	"Sacramento County, CA"	"06067"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	24	30.00	3593.46	9.71
	"Sacramento County, CA"	"06067"	"White"	"2106-3"	"Extreme Obesity III > 39.9"	"6"	"No"	"2"	"No"	"2"	17	31.00	3223.00	10.18
	"Sacramento County, CA"	"06067"	"More than one race"	"M"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	14	29.93	3582.86	10.00
	"Sacramento County, CA"	"06067"	"More than one race"	"M"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	21	29.48	3061.43	8.00
	"San Bernardino County, CA"	"06071"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	21	32.00	3220.29	14.05
	"San Bernardino County, CA"	"06071"	"Asian"	"A"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	10	31.80	3274.00	12.40
	"San Bernardino County, CA"	"06071"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	20	24.55	2821.10	8.89
	"San Bernardino County, CA"	"06071"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	16	28.38	3189.81	10.06
	"San Bernardino County, CA"	"06071"	"Black or African American"	"2054-5"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	13	31.00	2416.54	7.92
	"San Bernardino County, CA"	"06071"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	123	27.38	3190.37	11.99
	"San Bernardino County, CA"	"06071"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	87	28.89	3104.62	12.17
	"San Bernardino County, CA"	"06071"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	64	29.00	2982.97	11.07
	"San Bernardino County, CA"	"06071"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	16	29.19	3354.94	11.31
	"San Bernardino County, CA"	"06071"	"White"	"2106-3"	"Extreme Obesity III > 39.9"	"6"	"No"	"2"	"No"	"2"	18	32.44	3160.61	10.18
	"San Bernardino County, CA"	"06071"	"White"	"2106-3"	"Unknown or Not Stated"	"9"	"No"	"2"	"No"	"2"	11	29.82	2098.82	3.67
	"San Diego County, CA"	"06073"	"Asian"	"A"	"Underweight <18.5"	"1"	"No"	"2"	"No"	"2"	10	32.20	3180.00	14.10
	"San Diego County, CA"	"06073"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	114	32.85	3280.04	13.62
	"San Diego County, CA"	"06073"	"Asian"	"A"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	28	32.50	3374.89	12.32
	"San Diego County, CA"	"06073"	"Asian"	"A"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	10	32.90	3215.00	14.00
	"San Diego County, CA"	"06073"	"White"	"2106-3"	"Underweight <18.5"	"1"	"No"	"2"	"No"	"2"	12	31.75	3054.17	13.25
	"San Diego County, CA"	"06073"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	249	31.41	3428.41	13.40
	"San Diego County, CA"	"06073"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	152	30.18	3471.59	12.47
	"San Diego County, CA"	"06073"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	61	30.77	3291.75	11.30
	"San Diego County, CA"	"06073"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	15	30.27	3694.07	10.67
	"San Diego County, CA"	"06073"	"White"	"2106-3"	"Unknown or Not Stated"	"9"	"No"	"2"	"No"	"2"	11	28.73	3145.09	8.91
	"San Francisco County, CA"	"06075"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	137	34.18	3307.19	11.25
	"San Francisco County, CA"	"06075"	"Asian"	"A"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	23	35.13	3296.74	10.70
	"San Francisco County, CA"	"06075"	"White"	"2106-3"	"Underweight <18.5"	"1"	"No"	"2"	"No"	"2"	10	35.20	2711.50	11.00
	"San Francisco County, CA"	"06075"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	161	33.87	3467.48	11.39
	"San Francisco County, CA"	"06075"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	38	34.32	3406.87	12.21
	"San Francisco County, CA"	"06075"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	10	32.20	3456.30	10.40
	"San Joaquin County, CA"	"06077"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	25	29.64	3188.56	12.28
	"San Joaquin County, CA"	"06077"	"Asian"	"A"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	12	31.92	3136.17	11.90
	"San Joaquin County, CA"	"06077"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	39	28.69	3383.03	12.36
	"San Joaquin County, CA"	"06077"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	27	29.00	3327.37	9.59
	"San Joaquin County, CA"	"06077"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	21	29.10	3379.76	13.35
	"San Joaquin County, CA"	"06077"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	10	32.10	3345.10	11.89
	"San Luis Obispo County, CA"	"06079"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	47	31.60	3400.66	14.52
	"San Luis Obispo County, CA"	"06079"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	18	31.72	3345.83	12.44
	"San Mateo County, CA"	"06081"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	89	33.12	3270.87	10.69
	"San Mateo County, CA"	"06081"	"Asian"	"A"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	34	33.03	3131.56	10.12
	"San Mateo County, CA"	"06081"	"Asian"	"A"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	10	32.90	3324.30	12.60
	"San Mateo County, CA"	"06081"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	82	31.96	3469.45	10.37
	"San Mateo County, CA"	"06081"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	30	31.43	3460.00	9.90
	"San Mateo County, CA"	"06081"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	16	30.88	3516.44	11.31
	"Santa Barbara County, CA"	"06083"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	76	29.18	3272.86	12.05
	"Santa Barbara County, CA"	"06083"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	44	28.73	3383.66	11.68
	"Santa Barbara County, CA"	"06083"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	22	29.14	3168.95	11.55
	"Santa Clara County, CA"	"06085"	"Asian"	"A"	"Underweight <18.5"	"1"	"No"	"2"	"No"	"2"	38	32.74	3180.95	11.29
	"Santa Clara County, CA"	"06085"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	417	32.12	3228.75	10.54
	"Santa Clara County, CA"	"06085"	"Asian"	"A"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	122	32.04	3321.98	9.90
	"Santa Clara County, CA"	"06085"	"Asian"	"A"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	36	33.42	3348.06	10.69
	"Santa Clara County, CA"	"06085"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	153	31.41	3375.94	10.48
	"Santa Clara County, CA"	"06085"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	69	30.45	3483.29	10.91
	"Santa Clara County, CA"	"06085"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	34	31.53	3493.41	9.85
	"Santa Clara County, CA"	"06085"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	18	29.39	3247.00	12.06
	"Santa Cruz County, CA"	"06087"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	17	31.00	3511.00	11.76
	"Santa Cruz County, CA"	"06087"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	11	34.36	3694.18	13.20
	"Shasta County, CA"	"06089"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	13	26.77	3247.69	10.67
	"Solano County, CA"	"06095"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	46	30.17	3166.87	8.65
	"Solano County, CA"	"06095"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	40	30.02	3486.88	9.97
	"Solano County, CA"	"06095"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	60	29.72	3572.15	9.65
	"Solano County, CA"	"06095"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	21	31.14	3693.14	9.67
	"Solano County, CA"	"06095"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	12	30.25	3806.33	11.92
	"Sonoma County, CA"	"06097"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	13	33.15	3395.00	10.38
	"Sonoma County, CA"	"06097"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	51	32.02	3478.49	10.04
	"Sonoma County, CA"	"06097"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	47	31.13	3473.34	10.74
	"Sonoma County, CA"	"06097"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	19	31.74	3612.95	9.89
	"Sonoma County, CA"	"06097"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	14	28.71	3655.64	11.00
	"Stanislaus County, CA"	"06099"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	33	28.61	3360.52	10.97
	"Stanislaus County, CA"	"06099"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	26	30.19	3591.65	11.69
	"Stanislaus County, CA"	"06099"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	11	28.27	3574.45	11.91
	"Ventura County, CA"	"06111"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	18	33.78	3252.56	10.17
	"Ventura County, CA"	"06111"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	97	27.40	3395.38	11.19
	"Ventura County, CA"	"06111"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	68	28.28	3355.41	10.79
	"Ventura County, CA"	"06111"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	34	29.76	3159.91	9.88
	"Ventura County, CA"	"06111"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	11	27.45	3277.27	11.45
	"Yolo County, CA"	"06113"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	13	31.69	3238.15	10.62
	"Yolo County, CA"	"06113"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	21	31.00	3475.86	11.38
	"Yolo County, CA"	"06113"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	19	29.58	3455.68	10.42
	"Unidentified Counties, CA"	"06999"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	14	32.93	3136.50	11.86
	"Unidentified Counties, CA"	"06999"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	91	29.02	3409.68	10.77
	"Unidentified Counties, CA"	"06999"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	58	30.47	3327.16	11.81
	"Unidentified Counties, CA"	"06999"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	31	29.35	3588.55	12.52
	"Adams County, CO"	"08001"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	16	30.81	2948.87	9.62
	"Adams County, CO"	"08001"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	46	28.07	3065.48	9.35
	"Adams County, CO"	"08001"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	31	28.58	3115.58	8.77
	"Adams County, CO"	"08001"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	21	27.10	3282.05	9.62
	"Adams County, CO"	"08001"	"White"	"2106-3"	"Unknown or Not Stated"	"9"	"No"	"2"	"No"	"2"	10	24.90	3160.50	7.00
	"Arapahoe County, CO"	"08005"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	23	31.13	3124.23	10.83
	"Arapahoe County, CO"	"08005"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	22	31.27	3244.00	10.55
	"Arapahoe County, CO"	"08005"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	20	30.30	3392.00	9.30
	"Arapahoe County, CO"	"08005"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	67	29.28	3282.79	10.58
	"Arapahoe County, CO"	"08005"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	38	29.53	3190.66	9.82
	"Arapahoe County, CO"	"08005"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	31	31.13	3311.03	12.40
	"Boulder County, CO"	"08013"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	11	31.91	3238.55	9.91
	"Boulder County, CO"	"08013"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	33	32.24	3381.70	10.12
	"Boulder County, CO"	"08013"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	14	28.57	3168.93	9.93
	"Denver County, CO"	"08031"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	22	29.95	3181.86	9.41
	"Denver County, CO"	"08031"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	20	27.60	2810.90	11.50
	"Denver County, CO"	"08031"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	15	29.87	3184.27	10.60
	"Denver County, CO"	"08031"	"White"	"2106-3"	"Underweight <18.5"	"1"	"No"	"2"	"No"	"2"	15	25.53	3297.80	8.93
	"Denver County, CO"	"08031"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	115	30.70	3253.58	10.95
	"Denver County, CO"	"08031"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	53	29.74	3246.66	11.43
	"Denver County, CO"	"08031"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	27	29.00	3255.00	11.30
	"Denver County, CO"	"08031"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	15	27.47	3574.33	10.27
	"Denver County, CO"	"08031"	"White"	"2106-3"	"Extreme Obesity III > 39.9"	"6"	"No"	"2"	"No"	"2"	10	29.30	3252.50	9.80
	"Denver County, CO"	"08031"	"White"	"2106-3"	"Unknown or Not Stated"	"9"	"No"	"2"	"No"	"2"	13	27.00	2884.15	4.09
	"Douglas County, CO"	"08035"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	27	30.15	3155.74	10.74
	"Douglas County, CO"	"08035"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	18	31.28	3257.44	11.28
	"El Paso County, CO"	"08041"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	56	28.20	3147.79	9.79
	"El Paso County, CO"	"08041"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	24	29.08	3319.54	10.46
	"El Paso County, CO"	"08041"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	15	31.80	3335.73	10.27
	"Jefferson County, CO"	"08059"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	57	31.65	3276.19	10.39
	"Jefferson County, CO"	"08059"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	34	30.41	3429.76	9.44
	"Larimer County, CO"	"08069"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	32	30.56	3375.28	12.97
	"Larimer County, CO"	"08069"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	18	30.50	3290.39	10.56
	"Pueblo County, CO"	"08101"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	13	24.92	3358.38	12.62
	"Weld County, CO"	"08123"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	49	28.65	3359.84	11.86
	"Weld County, CO"	"08123"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	29	29.93	3460.93	10.45
	"Weld County, CO"	"08123"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	19	29.84	3185.47	13.16
	"Unidentified Counties, CO"	"08999"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	113	28.50	3214.53	11.08
	"Unidentified Counties, CO"	"08999"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	61	29.95	3138.30	9.97
	"Unidentified Counties, CO"	"08999"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	36	29.97	3145.22	10.67
	"Unidentified Counties, CO"	"08999"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	15	27.00	3463.00	12.53
	"Unidentified Counties, CO"	"08999"	"White"	"2106-3"	"Unknown or Not Stated"	"9"	"No"	"2"	"No"	"2"	15	28.80	3008.33	7.57
	"Fairfield County, CT"	"09001"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	28	32.57	3155.14	12.57
	"Fairfield County, CT"	"09001"	"Asian"	"A"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	12	31.75	3539.50	14.75
	"Fairfield County, CT"	"09001"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	13	29.38	3181.69	13.85
	"Fairfield County, CT"	"09001"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	145	32.22	3408.18	13.32
	"Fairfield County, CT"	"09001"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	47	30.36	3384.89	13.47
	"Fairfield County, CT"	"09001"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	13	35.31	3492.92	12.46
	"Hartford County, CT"	"09003"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	16	29.69	3222.88	10.94
	"Hartford County, CT"	"09003"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	58	31.38	3370.41	11.59
	"Hartford County, CT"	"09003"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	28	30.07	3291.11	11.30
	"Hartford County, CT"	"09003"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	14	31.14	3117.64	12.64
	"Litchfield County, CT"	"09005"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	16	30.06	3412.06	14.00
	"Litchfield County, CT"	"09005"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	12	30.25	3483.00	13.67
	"Middlesex County, CT"	"09007"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	10	30.10	2911.50	10.90
	"New Haven County, CT"	"09009"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	16	29.38	3248.62	11.56
	"New Haven County, CT"	"09009"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	17	28.00	2872.53	12.87
	"New Haven County, CT"	"09009"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	18	26.72	3327.22	13.56
	"New Haven County, CT"	"09009"	"Black or African American"	"2054-5"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	11	32.00	3090.64	13.36
	"New Haven County, CT"	"09009"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	87	30.72	3142.22	11.92
	"New Haven County, CT"	"09009"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	43	32.49	3282.49	13.14
	"New Haven County, CT"	"09009"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	15	30.73	3394.73	12.07
	"New Haven County, CT"	"09009"	"White"	"2106-3"	"Obesity II 35.0-39.9"	"5"	"No"	"2"	"No"	"2"	13	33.46	3520.15	14.38
	"New London County, CT"	"09011"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	41	30.59	3120.71	12.95
	"New London County, CT"	"09011"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	24	29.29	3190.46	12.38
	"New London County, CT"	"09011"	"White"	"2106-3"	"Obesity I 30.0-34.9"	"4"	"No"	"2"	"No"	"2"	11	30.73	3529.27	12.73
	"Tolland County, CT"	"09013"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	10	32.80	3738.40	11.60
	"Windham County, CT"	"09015"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	10	26.80	3499.50	12.30
	"Windham County, CT"	"09015"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	15	33.67	3270.13	12.00
	"Kent County, DE"	"10001"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	18	28.22	3297.72	10.94
	"New Castle County, DE"	"10003"	"Asian"	"A"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	31	30.55	3336.77	13.32
	"New Castle County, DE"	"10003"	"Asian"	"A"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	17	29.41	3260.59	12.12
	"New Castle County, DE"	"10003"	"Black or African American"	"2054-5"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	23	26.61	3152.61	9.70
	"New Castle County, DE"	"10003"	"Black or African American"	"2054-5"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	17	27.24	3253.53	9.47
	"New Castle County, DE"	"10003"	"White"	"2106-3"	"Normal 18.5-24.9"	"2"	"No"	"2"	"No"	"2"	60	30.37	3361.71	10.66
	"New Castle County, DE"	"10003"	"White"	"2106-3"	"Overweight 25.0-29.9"	"3"	"No"	"2"	"No"	"2"	47	30.77	3341.77	10.28
